tick,population,average_speed
267,32,0.118299165797731
268,32,0.118299165797731
269,32,0.118299165797731
270,31,0.11925093360952368
271,33,0.12272293304538225
272,31,0.10334016696761296
273,31,0.10334016696761296
274,30,0.09849909618649245
275,29,0.09891430710578077
276,29,0.09891430710578077
277,29,0.09891430710578077
278,28,0.09486166138089104
279,28,0.09486166138089104
280,29,0.09159056960913618
281,29,0.09159056960913618
282,28,0.08225173821652035
283,29,0.07941547138146793
284,29,0.07941547138146793
285,28,0.07844118007441024
286,28,0.07844118007441024
287,27,0.056468513405823276
288,28,0.0593097224241304
289,28,0.0593097224241304
290,28,0.0593097224241304
291,29,0.06490239069279943
292,28,0.05779519076470147
293,28,0.05779519076470147
294,29,0.06334721392903955
295,29,0.06334721392903955
296,29,0.06334721392903955
297,30,0.06123564013140491
298,31,0.05926029690135959
299,33,0.06231621259916432
300,33,0.06231621259916432
301,33,0.06231621259916432
302,34,0.06459028183738347
303,34,0.06459028183738347
304,34,0.06459028183738347
305,34,0.06459028183738347
306,35,0.06433676320016184
307,35,0.06433676320016184
308,35,0.06433676320016184
309,35,0.06433676320016184
310,37,0.06261235687263285
311,37,0.06261235687263285
312,37,0.05925539723040044
313,37,0.05925539723040044
314,37,0.05925539723040044
315,37,0.05925539723040044
316,37,0.05925539723040044
317,36,0.057122981433510946
318,36,0.057122981433510946
319,34,0.04960858850860778
320,35,0.049435373548084006
321,35,0.049435373548084006
322,36,0.05297520727639391
323,36,0.05297520727639391
324,37,0.051543444917572456
325,37,0.051543444917572456
326,37,0.051543444917572456
327,37,0.051543444917572456
328,37,0.047305908249169956
329,37,0.047305908249169956
330,37,0.047305908249169956
331,37,0.047305908249169956
332,37,0.045605349138401696
333,38,0.048581146630978435
334,38,0.048581146630978435
335,38,0.048581146630978435
336,37,0.05090533263967865
337,37,0.05090533263967865
338,38,0.05362251307263813
339,40,0.05470351454837049
340,40,0.05470351454837049
341,41,0.05442240945556778
342,42,0.05583239652244575
343,43,0.05824502794615526
